track_id,title,artist_name,album_name,genre,duration_ms,popularity,danceability,energy,valence,tempo,acousticness,instrumentalness,liveness,speechiness,loudness,mode,key,time_signature,mood_bucket,main_genre,danceability_label,energy_label,mood_label,tempo_label,acoustic_label,loudness_label,mode_label
27sytaeEm6TDVMpdExyVfd,A feira,O Rappa,Só as Melhores do Pop Rock Brasileiro,r-n-b,239533,0,0.713,0.886,0.9,97.983,0.0012,7.68e-06,0.0496,0.0411,-7.75,1,7,4,happy,hip-hop,high,energetic,happy,medium,electronic,normal,major (bright)
769Fq73HiVK9qfOQKKvpLB,Sorted For E's & Wizz,Pulp,Fiesta temática 90s,r-n-b,217666,0,0.507,0.9,0.536,94.466,0.226,0.0,0.377,0.0635,-5.513,1,0,4,focus,hip-hop,medium,energetic,neutral,medium,electronic,loud,major (bright)
1tnZipedfyuRJlxkW8o5za,Simply Irresistible,Robert Palmer,80's,r-n-b,254293,0,0.646,0.934,0.698,142.616,0.129,1.03e-05,0.0443,0.0531,-6.955,1,9,4,happy,hip-hop,medium,energetic,happy,fast,electronic,normal,major (bright)
6b0niK2zmoE9kZY5HkLGen,Hey Baby,"Tungevaag, Raaban, A7S",10's Dance Classics,r-n-b,180490,0,0.694,0.888,0.691,124.996,0.0353,0.0,0.275,0.0723,-2.983,1,11,4,happy,hip-hop,medium,energetic,happy,fast,electronic,loud,major (bright)
07Yr4PU7SAT5NCSjZppwhP,Tatuajes,Joan Sebastian,Carrete familiar,r-n-b,211255,0,0.8,0.464,0.87,100.718,0.739,1.33e-06,0.131,0.0324,-7.432,1,7,4,chill,hip-hop,high,medium,happy,medium,acoustic,normal,major (bright)
34Z2Bqkz8lz7gW0B58wUg6,Hark The Herald Angels Sing,Hawk Nelson,Emo Christmas 2022,punk-rock,147413,0,0.345,0.679,0.542,177.178,0.00404,0.0,0.39,0.0377,-5.25,1,11,4,focus,rock,low,medium,neutral,fast,electronic,loud,major (bright)
6IpdXlQF0cqHk7a8P5wGwE,Lose Control,Hedley,Concierto en la ducha,punk-rock,226693,0,0.665,0.778,0.852,119.971,0.149,0.0,0.137,0.0494,-4.42,0,5,4,happy,rock,medium,energetic,happy,medium,electronic,loud,minor (moody)
1D795WM1mCto1GUXySadhP,Never Been In Love - Rob Orton Remix,"Cobra Starship, Icona Pop, Rob Orton",The State of Pop,punk,222713,0,0.631,0.929,0.694,121.083,0.00602,0.0,0.261,0.0315,-3.844,1,7,4,happy,rock,medium,energetic,happy,fast,electronic,loud,major (bright)
6sy8xrx5CeHG571DFYEhmj,Nothing For Christmas,New Found Glory,Christmas Rock 2022,punk,215200,0,0.552,0.443,0.448,111.895,0.776,0.0,0.101,0.0276,-7.558,1,7,4,chill,rock,medium,medium,neutral,medium,acoustic,normal,major (bright)
3kp0sG1Vxb3rbxqYjTYtvl,Ex-Miss,New Found Glory,Alternative Christmas 2022,punk,217426,0,0.489,0.906,0.673,97.056,9.02e-06,1.16e-06,0.331,0.0339,-5.825,1,7,4,happy,rock,medium,energetic,happy,medium,electronic,loud,major (bright)
5keH4JIMtaX5ttdnvPOzvz,Peek-A-Boo,Siouxsie and the Banshees,Mirando las nubes,punk,192813,0,0.825,0.684,0.622,105.203,0.444,0.0,0.106,0.257,-8.6,1,2,4,happy,rock,high,medium,neutral,medium,mixed,normal,major (bright)
57fhqwIkHMUIzcvqODgf4l,pretend,"nothing,nowhere.",Here to Forever - All New Indie,punk,179690,0,0.533,0.838,0.722,80.049,0.0251,0.0,0.318,0.0837,-5.625,0,1,4,happy,rock,medium,energetic,happy,slow,electronic,loud,minor (moody)
3n9McysKwxw7VA3Ym3Kvxl,Pieces of You,"nothing,nowhere.",Top of the Rock,punk,182568,0,0.469,0.908,0.656,94.055,0.00223,0.0,0.0711,0.0765,-3.15,1,1,4,happy,rock,medium,energetic,neutral,medium,electronic,loud,major (bright)
2kDuAIr3uJKloU1cnNO6KT,Ain't It Fun - Smash Mode Remix,"Paramore, Smash Mode",10's Dance Classics,punk,325312,0,0.68,0.884,0.827,124.04,0.000408,0.00304,0.0738,0.0501,-5.146,0,1,4,happy,rock,medium,energetic,happy,fast,electronic,loud,minor (moody)
